path	git_blob	observed_notice	disposition
rtl/input/keyboard/ps2_iobase.vhd	24d5e9104417a2f86fbbff68cb896808f6c29c49	GPL-3.0-or-later	candidate-import-retain-notice
rtl/input/keyboard/ps2_keyb.vhd	c7185f86e3acd631205d12566af73444a24e6fc5	GPL-3.0-or-later	candidate-import-retain-notice
rtl/input/md6_joystick_connector_x2.vhd	1ad3d98a7fd44d384c46ad8a9a56cafdff8c0bd6	GPL-3.0-or-later	candidate-import-retain-notice
rtl/input/membrane/emu_fnkeys.vhd	20ecf105549efd940c54a5f0d7d2dc803f9cc7f1	GPL-3.0-or-later	candidate-import-retain-notice
rtl/input/membrane/membrane.vhd	ff77eb1073146b17e8c4870e306bac913aa38dba	GPL-3.0-or-later	candidate-import-retain-notice
rtl/input/membrane/membrane_stick.vhd	04d4dbc688475baccb8143afe165485df2fac89b	GPL-3.0-or-later	candidate-import-retain-notice
rtl/input/ps2_mouse.v	7f86d6bc39afaf8a5fb61225ce5a4d5acbe7648c	GPL-3.0-or-later	candidate-import-retain-notice
rtl/misc/asymmetrical_debounce.vhd	2076344696e4621d83871ba0522770088ad6f3f7	GPL-3.0-or-later	candidate-import-retain-notice
rtl/misc/debounce.vhd	623b4e53881a6272e15b25de09573c441e253a62	GPL-3.0-or-later	candidate-import-retain-notice
rtl/misc/flashboot.vhd	b8bd96f7bd75f8a4fecde6eb03a7bb53c3b6fbc5	GPL-3.0-or-later	candidate-import-retain-notice
rtl/misc/flashboot_old.vhd	6ff848cf4824da63c8480ae4c7cfdda953232062	GPL-3.0-or-later	candidate-import-retain-notice
rtl/misc/relaxation.vhd	dbef4e41b3798262789e37038932e278f3662758	GPL-3.0-or-later	candidate-import-retain-notice
rtl/misc/synchronize.vhd	0b2f2a1b36d1843e6fe10ad866c39bbc5f28165e	GPL-3.0-or-later	candidate-import-retain-notice
rtl/mister/MiSTer.qip	2e59648e7ecc1584abae0d4e6c1ddc3c59813f89	no-explicit-notice-observed	exclude-mister-platform
rtl/mister/bram.vhd	f52e3eeb56345f17a60565ade86a116f69d4c515	no-explicit-notice-observed	exclude-mister-platform
rtl/mister/ddram.sv	93bc2c69fa0b4e770742fbe05507731aec639948	GPL-3.0-or-later	exclude-mister-platform
rtl/mister/keyjoy_sdpram_64_6.mif	99f8af8db23903c00f30a1706975a9f983859e15	no-explicit-notice-observed	exclude-mister-platform
rtl/mister/ps2_keyb.vhd	f296f5796ffb05e583fe2af5e1c80e603120a7d4	GPL-3.0-or-later	exclude-mister-platform
rtl/mister/rtc.sv	a1c17e5026d496ddd5a6113434c8c05e7ac0f4f2	GPL-2.0-or-later	exclude-mister-platform
rtl/mister/sdram.sv	67e44ae5c5bef74fa0eaa7443683483b86b14a26	GPL-2.0-or-later	exclude-mister-platform
rtl/mister/tzxplayer.vhd	b2fa00d78e0c7f801aa9f9541af2e20ea1fa2089	no-explicit-notice-observed	exclude-mister-platform
rtl/mister/zxnext_top.vhd	e21de5473638a09b3618a31ecfb6ac458dac70a2	GPL-3.0-or-later	exclude-mister-platform
rtl/pll.qip	ee13e21821e5ba23c8e7dfd824df5d2f2ea5c5a4	no-explicit-notice-observed	exclude-intel-pll
rtl/pll.v	fbed763a5d7a555de2abf86289191959a66acfa2	Intel-Altera-device-restricted	exclude-intel-pll
rtl/pll/pll_0002.qip	aec45eb73ea83ceab9b5ad1b7d71b5869c92036f	no-explicit-notice-observed	exclude-intel-pll
rtl/pll/pll_0002.v	25d8a485c2b5c3d77755f92b69d6853e3ead39c2	no-explicit-notice-observed	exclude-intel-pll
rtl/rom/bootrom.vhd	46c39fe8b4e4732d5a96c546f6ffc90c6773df4e	no-copyright-or-license-notice	exclude-user-supplied-rom
rtl/serial/fifop.vhd	7f3e5cced9689baf76ca58d583c9036bec25768c	GPL-3.0-or-later	candidate-import-retain-notice
rtl/serial/spi_master.vhd	6fa52609e7a688bb46eb49bcc5278c017b930381	BSD-3-Clause-synthesized-form	candidate-import-retain-notice
rtl/serial/uart.vhd	115fbec82889491cd443496eea23adb267345b7d	GPL-3.0-or-later	candidate-import-retain-notice
rtl/serial/uart_old.vhd	27cca983deae2060dd1d8bdef94107361b6f8cce	GPL-3.0-or-later	candidate-import-retain-notice
rtl/serial/uart_rx.vhd	f5d931ae52c7bf92113ae6f98d176b844fb3ae65	GPL-3.0-or-later	candidate-import-retain-notice
rtl/serial/uart_tx.vhd	a5e2177f7252052571c54fdd1ae14e262ee63975	GPL-3.0-or-later	candidate-import-retain-notice
rtl/video/layer2.vhd	1dfa7096669eff482200ba30f02328c2a8d1cf37	GPL-3.0-or-later	candidate-import-retain-notice
rtl/video/lores.vhd	17ba4cd46ae9a7ce43cbd32cb8387b9993cde5be	GPL-3.0-or-later	candidate-import-retain-notice
rtl/video/sprites.vhd	61962ec723327f138590d1c50f3003f2d37d7ad6	GPL-3.0-or-later	candidate-import-retain-notice
rtl/video/tilemap.vhd	987d57f9281dcc3fc011e08c5f4876e8ac06a987	GPL-3.0-or-later	candidate-import-retain-notice
